gender,getup,breakfast,dinner,sleep,work,home
1,395,423,1125,1369,480,1119
1,387,413,1118,1353,476,1111
1,388,414,1126,1360,477,1115
1,397,425,1135,1378,457,1132
1,389,419,1123,1354,479,1101
1,394,423,1136,1360,477,1135
1,395,420,1140,1361,467,1129
1,402,420,1152,1374,477,1141
1,389,416,1146,1367,466,1136
1,391,422,1142,1376,477,1144
1,401,424,1157,1384,477,1158
1,399,426,1158,1392,478,1169
1,422,444,1167,1423,515,1183
1,406,428,1161,1392,470,1169
1,396,420,1133,1364,486,1135
1,396,407,1135,1369,493,1145
1,400,418,1138,1373,476,1128
1,398,419,1133,1375,486,1134
1,390,419,1138,1366,491,1129
1,392,415,1140,1365,467,1130
1,395,421,1136,1374,471,1121
1,392,413,1128,1373,468,1131
1,405,417,1147,1391,486,1168
1,407,419,1130,1381,479,1121
1,405,420,1158,1389,480,1163
1,414,431,1141,1392,485,1143
1,413,431,1158,1400,485,1154
1,398,422,1148,1387,478,1158
1,405,424,1143,1382,475,1140
1,402,424,1131,1374,475,1127
1,403,422,1136,1380,487,1132
1,393,419,1144,1366,476,1099
1,397,415,1131,1379,484,1131
1,398,419,1145,1375,470,1157
1,387,404,1130,1362,473,1111
1,404,425,1127,1374,483,1105
1,386,416,1136,1363,468,1108
1,396,423,1131,1378,480,1121
1,402,425,1134,1360,483,1084
1,415,436,1149,1393,485,1153
1,398,421,1142,1373,474,1130
1,399,420,1136,1375,469,1107
1,396,426,1133,1366,475,1118
1,400,423,1135,1376,484,1129
1,390,412,1127,1360,474,1121
1,393,421,1140,1367,472,1108
1,392,427,1144,1373,476,1105
2,392,441,1108,1371,524,1043
2,368,424,1105,1345,504,1043
2,374,424,1121,1350,504,1051
2,386,437,1123,1361,531,1071
2,374,435,1114,1349,526,1056
2,382,437,1125,1362,533,1068
2,378,425,1123,1364,517,1056
2,389,431,1138,1376,518,1062
2,383,428,1127,1371,519,1078
2,384,437,1126,1369,518,1035
2,392,438,1133,1388,515,1065
2,394,444,1137,1385,534,1081
2,415,451,1148,1414,535,1121
2,399,443,1135,1397,540,1097
2,384,429,1121,1361,515,1031
2,373,423,1125,1360,515,1048
2,387,431,1127,1371,520,1063
2,379,423,1123,1367,500,1047
2,391,433,1126,1372,533,1088
2,372,422,1124,1362,502,1045
2,386,427,1112,1374,524,1030
2,377,426,1111,1369,514,1036
2,388,432,1125,1373,527,1048
2,384,430,1117,1379,520,1040
2,394,433,1129,1379,533,1040
2,395,439,1124,1391,517,1047
2,403,446,1134,1394,521,1077
2,397,438,1135,1385,543,1065
2,393,436,1130,1391,535,1076
2,395,436,1114,1375,530,1050
2,376,425,1129,1363,504,1047
2,382,426,1129,1368,511,1071
2,379,426,1127,1378,517,1072
2,392,427,1127,1379,536,1061
2,381,428,1118,1368,520,1034
2,380,427,1122,1369,496,1057
2,387,423,1117,1371,497,1033
2,386,435,1116,1375,514,1012
2,391,432,1123,1364,533,1066
2,401,443,1131,1386,518,1053
2,392,436,1133,1375,517,1052
2,386,431,1122,1374,497,1047
2,386,435,1125,1371,523,1063
2,379,431,1122,1370,498,1024
2,378,426,1123,1362,504,1025
2,388,431,1133,1366,514,1036
2,392,441,1142,1382,533,1051
